severity,check_id,record_id,message_en,message_ar
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0008,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0009,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0010,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0011,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0012,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0013,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0014,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0015,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0016,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0017,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0018,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0019,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0020,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0021,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0022,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0023,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0024,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0025,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0026,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0027,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0028,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0029,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0030,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0031,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0032,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
BLOCKER,missing_original_epc_plate,Y60-MISSING-EPC-0033,Original Nissan EPC plate is unavailable and must be supplied from an official source.,لوحة Nissan EPC الأصلية غير متوفرة ويجب توفيرها من مصدر رسمي.
