generation,subtype,file_name,pages,plates,parts,diagrams,verification_required,sha256,status,duplicate_of,source_path,output_path
Y60,Vehicle_Catalogs,Y60_7c1844e0802d_Australia_RHD_HARDTOP_TD42_STD.pdf,308,225,5845,178,1,c1756910736fd49ec7b87ee957e48a2928bcc7de7b811e03beabe33f7082ee5d,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_7c1844e0802d_Australia_RHD_HARDTOP_TD42_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_7c1844e0802d_Australia_RHD_HARDTOP_TD42_STD.pdf
Y60,Vehicle_Catalogs,Y60_9454a4eac8ca_Australia_RHD_WAGON_TD42_STD.pdf,127,94,2347,81,1,7f6daa5b44dbb78a604684fe0db13fa24716df3b05ee7247b28dc17b9439d0a4,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_9454a4eac8ca_Australia_RHD_WAGON_TD42_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_9454a4eac8ca_Australia_RHD_WAGON_TD42_STD.pdf
Y60,Vehicle_Catalogs,Y60_b3d7b114a89a_Australia_RHD_WAGON_RB30S_STD.pdf,283,226,4741,224,3,f2456b82eb32ded848f9c0856a880895d48cb7afd4895dce477694ea2ce4bd5f,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_b3d7b114a89a_Australia_RHD_WAGON_RB30S_STD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_b3d7b114a89a_Australia_RHD_WAGON_RB30S_STD.pdf
Y60,Vehicle_Catalogs,Y60_d074a6710cf6_Australia_RHD_HARDTOP_TD42_DX.pdf,29,20,600,20,20,c97e97a58f8ba769fae58d7698d8df8cd627e9d7e3e4f6a07ba294663555e61e,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y60_d074a6710cf6_Australia_RHD_HARDTOP_TD42_DX.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Vehicle_Catalogs\Y60_d074a6710cf6_Australia_RHD_HARDTOP_TD42_DX.pdf
Y61,Vehicle_Catalogs,Y61_1997_Y61_1997_213768_General_Asia_LHD_WAGON_TB45E_GRX.pdf,833,417,16042,417,2,d05f019387ba8f9b51d8f162c8d0fc3c733c2aafbce0da2e06358f5754243ef4,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y61_1997_Y61_1997_213768_General_Asia_LHD_WAGON_TB45E_GRX.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y61\Vehicle_Catalogs\Y61_1997_Y61_1997_213768_General_Asia_LHD_WAGON_TB45E_GRX.pdf
Y61,Vehicle_Catalogs,Y61_1997_Y61_1997_213772_General_Asia_LHD_WAGON_TB45E_GRX.pdf,833,417,16042,417,2,421a6c67139d5d4112c530c29d53cce841314d06583d12a6ded766b901a59916,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y61_1997_Y61_1997_213772_General_Asia_LHD_WAGON_TB45E_GRX.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y61\Vehicle_Catalogs\Y61_1997_Y61_1997_213772_General_Asia_LHD_WAGON_TB45E_GRX.pdf
Y62,Vehicle_Catalogs,Y62_General_Asia_LHD_189471_General_Asia_LHD_VK56DE_SE_General_Asia_LHD.pdf,843,484,15077,466,0,6f831ccea6744aec6b047cebb44a3c7190bb45c34f121b161a4a344871ddd44a,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\deliverables\translated_vehicle_pdfs_named\Y62_General_Asia_LHD_189471_General_Asia_LHD_VK56DE_SE_General_Asia_LHD.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y62\Vehicle_Catalogs\Y62_General_Asia_LHD_189471_General_Asia_LHD_VK56DE_SE_General_Asia_LHD.pdf
Y60,Yearly_1988_1997,wgy60348567_vehicle_catalog.pdf,248,,,,,48c5b1466ea0099dec43e24510d151f79e349fed5808318bf37dbc5f5be895ac,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\نسخة_مدمجة_منقحة\saved_codex_y60_pdfs\wgy60348567_vehicle_catalog.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Yearly_1988_1997\wgy60348567_vehicle_catalog.pdf
Y60,Yearly_1988_1997,y60_1988.pdf,472,,,,,c2b22602d0c93d807b27c9896c59f48ce11c50a8ac01cf9fe8f9a3f7739018ad,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\نسخة_مدمجة_منقحة\saved_codex_y60_pdfs\y60_1988.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Yearly_1988_1997\y60_1988.pdf
Y60,Yearly_1988_1997,y60_1989.pdf,469,,,,,6679986ef77e4bc38ee1c0cc45f25a75251d9af482785aa9124e023791b49f40,copied_verified_pdf,,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\نسخة_مدمجة_منقحة\saved_codex_y60_pdfs\y60_1989.pdf,C:\Users\safwa\Documents\Codex\2026-07-01\partsouq-com-1-y60-y60-y61-2\outputs\كتلوجات الباترول من اللابتوب\النسخة_الشاملة_المترجمة\Y60\Yearly_1988_1997\y60_1989.pdf
